Date,Open,High,Low,Close,Volume
2025-08-22,148747.06922011118,148747.06922011118,146997.10369987457,147502.09375,3011
2025-08-25,148197.08071399367,148197.08071399367,146202.1200120745,146742.109375,4631
2025-08-26,146497.10611567635,147017.09584386853,141597.20290771176,142377.1875,8941
2025-08-28,142697.17909857671,143487.1634818134,141197.20875065893,142272.1875,6106
2025-08-29,141997.19813060906,142602.18619306694,139897.23956670568,140952.21875,7056
2025-09-01,141097.21436246418,145497.12749637518,140952.21722509665,144832.140625,6252
2025-09-02,145197.13982844332,154996.9467865614,144182.1598220668,153881.96875,32632
2025-09-03,153881.9654859266,154196.95927432747,150247.0371658087,150547.03125,8962
2025-09-04,152546.9897482961,154996.94140272628,149197.05585346298,149652.046875,12184
2025-09-05,150387.03294543384,150502.03067659098,147697.0860166273,148097.078125,4806
2025-09-08,148837.05887302398,149592.04395397755,146597.10313615503,147072.09375,8159
2025-09-09,148047.07189394065,149767.03787609248,146697.0985939959,149312.046875,4638
2025-09-10,149397.05902980964,150532.0366870977,144997.14564472824,145252.140625,10906
2025-09-11,145887.1210180144,147197.09516657563,145327.13206901113,146477.109375,7349
2025-09-12,146497.11075552637,148397.07328409635,146082.11894007557,146567.109375,6578
2025-09-15,147297.09572167572,148887.0643720319,146882.10390412994,147397.09375,4443
2025-09-16,148047.0717958861,152196.98971518988,147797.07674050634,150887.015625,13098
2025-09-17,151197.01208147506,152351.98925709745,149597.0436996605,150227.03125,6242
2025-09-18,150977.02446326736,151497.01421502852,148797.0674270379,149047.0625,4567
2025-09-19,149647.04795994624,151247.01639787416,148007.0803110701,149702.046875,11008
2025-09-22,149997.0406035329,154191.95783907836,149122.05786667895,152846.984375,10863
2025-09-23,152996.9798112996,156396.91269599512,152991.97990999857,155931.921875,12421
2025-09-24,155396.9361198738,155881.926557571,153026.98284700315,153741.96875,5737
2025-09-25,153706.9666197195,153706.9666197195,149997.03983448,150432.03125,5811
2025-09-26,150887.01612726782,151357.00683294624,147997.073277458,148542.0625,5719
2025-09-29,149817.04745175995,149817.04745175995,145067.1410614525,145882.125,9306
2025-09-30,147282.0961159306,148302.0760055205,145417.13288643534,145817.125,7375
2025-10-01,146597.10476334544,149992.03771472033,145797.1205627269,148737.0625,8100
2025-10-03,148737.07207113484,154496.95868623324,147402.09835044795,153191.984375,11930
2025-10-06,153186.98345914014,153191.98336068264,150857.02934033476,152347.0,4800
2025-10-07,152346.9957654339,154296.95731280898,151107.02021735947,153716.96875,7514
2025-10-08,153716.9668996843,160146.8400272212,152496.99097190902,155206.9375,15979
2025-10-09,156096.92689512647,157521.8988414785,155211.94431791836,156351.921875,6422
2025-10-10,156396.91769361947,157336.89916824864,153351.97770399626,155391.9375,8693
2025-10-13,154596.95130987666,157196.90003824458,154596.95130987666,156881.90625,4616
2025-10-14,156546.9132017106,158696.87080876058,156351.91704665255,157691.890625,7557
2025-10-15,157691.89047107397,157766.88899217694,154996.94361277446,155306.9375,5500
2025-10-16,156096.92083185728,156986.90327606196,154701.94834908698,155251.9375,4769
2025-10-17,156096.91871673398,156446.91180802713,155111.93815980907,155936.921875,3587
2025-10-20,156776.9093895915,163396.77888926683,156531.9142192863,161691.8125,15860
2025-10-21,161096.82393462394,162746.7914050903,160211.8413822829,161676.8125,2188
2025-10-23,161976.80309197758,162996.7829608121,160281.83654523783,162291.796875,6570
2025-10-24,161051.82670676228,163596.77656220738,159396.85931550033,160186.84375,7853
2025-10-27,160186.84252224086,161686.81295599678,159086.8642041532,159331.859375,4430
2025-10-28,160196.8353930276,162061.79855162933,157896.8808274598,158191.875,7325
2025-10-29,159996.84177611006,160096.83980222014,158396.87335834897,159896.84375,3671
2025-10-30,160096.83616846366,160556.82707812946,157696.8835962943,158131.875,4107
2025-10-31,158996.86131082755,159101.85923810827,157246.89585614862,157511.890625,3835
2025-11-03,157796.88605077038,159636.84974109623,157796.88605077038,158356.875,3088
2025-11-04,159146.86630762595,159491.85951451334,157546.89781191622,157911.890625,3650
2025-11-05,157911.890625,157911.890625,157911.890625,157911.890625,0
2025-11-06,158951.85701120395,159436.84742138567,156801.89952276956,157251.890625,3826
2025-11-07,157881.892321198,159296.86446949895,155661.93601785658,158761.875,3830
2025-11-10,159496.8576251386,159501.85752663156,157316.90057421193,157821.890625,3056
2025-11-11,158616.86601017925,158691.86452834067,157216.89367116618,158161.875,2691
2025-11-12,158361.87899748454,159316.86017667566,157296.89998613534,157771.890625,3575
2025-11-13,158296.87529608692,159296.85555695923,157996.88121782523,158311.875,3192
2025-11-14,158471.86938879843,159696.84518940595,156216.91393543518,157396.890625,14236
2025-11-17,158496.87937521876,158986.8697278614,156746.9138300665,157131.90625,4449
2025-11-18,157496.89231525033,157506.892117937,154646.94854954578,155206.9375,6029
2025-11-19,155596.92437481662,155651.92328767403,153096.97379038832,153351.96875,4529
2025-11-20,153496.96939782822,154496.94965449162,151502.0087857848,151947.0,5220
2025-11-21,152500.0,154750.0,152000.0,152435.0,7022
